FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
HGDP00448	-0.0808871606912	0.0373931769957	-0.0060227407559	-0.0021711954736	-0.0816166836954	0.0097480325543	0.0050594181424	0.0017252223049	-0.0917201915760	0.0818532990657
HGDP00479	-0.0804879230349	0.0371062147279	-0.0058415905347	-0.0030189775809	-0.0719780470947	0.0088182893545	0.0024640682533	-0.0018320328824	-0.0767982268056	0.0674363659178
HGDP00985	-0.0810415350528	0.0375345502685	-0.0060408048331	-0.0025819356834	-0.0711246788230	0.0105609502629	0.0030140361912	0.0000834805991	-0.0781811550228	0.0668266698336
HGDP01094	-0.0794936364064	0.0363128984215	-0.0057644901580	-0.0027614533379	-0.0696818283727	0.0095608161611	0.0050979217134	0.0026299584839	-0.0676100277091	0.0610540625563
HGDP00982	-0.0795789579160	0.0375576215577	-0.0050616826052	-0.0019656338231	-0.1395557668226	0.0260264811906	0.0115985331719	0.0030126780105	0.1504227035850	-0.1128744810245
HGDP00911	-0.0734436309384	0.0304189226915	-0.0041613109397	-0.0040112701567	0.0851547244539	-0.0145249537663	-0.0077149372381	-0.0059686732628	-0.0007810156562	-0.0255541455777
HGDP01202	-0.0747956325413	0.0320475577033	-0.0040470795496	-0.0054768691110	0.0851087032521	-0.0180147110260	-0.0076331698706	-0.0020426082153	0.0007788486131	-0.0286037276316
HGDP00927	-0.0767783541179	0.0331273120451	-0.0051864180005	-0.0064504900638	0.0794692472009	-0.0181905647028	-0.0084917147462	0.0018501400558	-0.0054873800956	-0.0224734205233
HGDP00461	-0.0811163341105	0.0379698419340	-0.0063627842845	-0.0020279379641	-0.0792153400974	0.0090688675714	0.0055913285211	0.0023300459180	-0.0891949848213	0.0766919837211
HGDP00451	-0.0818093721840	0.0377062645635	-0.0065314733113	-0.0021403671915	-0.0846444672731	0.0112385293329	0.0054687782821	0.0019267373280	-0.1126153550310	0.0969439207319
HGDP00986	-0.0808501377602	0.0373853242615	-0.0056006263614	-0.0040943094466	-0.0679380044180	0.0080784198097	0.0021997987541	0.0003543076401	-0.0758356375762	0.0651618859734
HGDP00449	-0.0796439936059	0.0371055066076	-0.0054050865865	-0.0007085645468	-0.1377650840400	0.0254074775796	0.0093967029794	0.0015665008311	0.1314973432744	-0.1013704806210
HGDP00983	-0.0800620099144	0.0377167602784	-0.0054438733940	-0.0022511598850	-0.1350827943012	0.0251288455399	0.0114108489395	0.0023255586401	0.1521043842946	-0.1146126077768
HGDP00912	-0.0749170919215	0.0316232594635	-0.0034179732023	-0.0055187298565	0.0854544953128	-0.0194328172179	-0.0074926463564	-0.0034167668661	-0.0020674376197	-0.0261050909253
HGDP01283	-0.0740423180509	0.0306623569618	-0.0050383179232	-0.0051401817848	0.0894983193728	-0.0175588080174	-0.0070987787926	-0.0031070212823	0.0027045927577	-0.0323650405093
HGDP00928	-0.0762092729605	0.0329991246055	-0.0049819132112	-0.0059772395535	0.0762166833233	-0.0174279074736	-0.0050129872804	-0.0026472579436	-0.0010246034252	-0.0241643289776
HGDP00937	-0.0764086756692	0.0329609598872	-0.0048377956073	-0.0058792582846	0.0775520333902	-0.0167272962518	-0.0081843702975	-0.0019415287460	-0.0025230714656	-0.0260552367404
HGDP01408	-0.0718774997246	0.0300183351485	-0.0048279724209	-0.0040143486679	0.0538930887988	-0.0116721244187	-0.0080969987238	0.0000070492602	0.0072142015696	-0.0154846362317
HGDP00991	-0.0752832645831	0.0339524787285	-0.0045207181249	0.0004657697019	-0.1037821682026	0.0190740681934	0.0074488449644	0.0025131527495	0.0367145392493	-0.0163331915503
HGDP01031	-0.0756626323339	0.0329174065278	-0.0043937896747	-0.0042822583432	0.0521213673566	-0.0149662783515	-0.0059150347516	0.0009421468431	-0.0047546953604	-0.0160711013986
HGDP01263	-0.0136657739310	-0.0276309982543	-0.0020176621598	-0.0052505913657	0.0247667084561	0.0373181795923	0.0227695922243	0.0033050791504	0.0154272780144	0.0120122831841
HGDP01275	-0.0173471206105	-0.0255628520474	-0.0026902137437	-0.0062823182232	0.0311747260826	0.0396121817901	0.0277443690050	0.0010280417257	0.0193690819570	0.0182534873669
HGDP00611	-0.0132506096398	-0.0266381447212	-0.0018315387812	-0.0047129505749	0.0166966708528	0.0168743977797	0.0103423071934	0.0001287512834	0.0239771578459	0.0224909976920
HGDP00623	-0.0078486637462	-0.0344319182734	-0.0014575499191	-0.0051240243973	0.0116881474333	0.0321861363970	0.0173529280403	0.0014303970139	0.0656670882503	0.0776810875285
HGDP00634	-0.0108728717019	-0.0291320994412	-0.0016942116623	-0.0056499790245	0.0127468767641	0.0164654340070	0.0067082630991	0.0012585306935	0.0240093641489	0.0264856802247
HGDP00645	-0.0093546986134	-0.0305396328202	-0.0019680636936	-0.0032766693988	0.0117394452005	0.0136784075868	0.0077896859866	-0.0020371294982	0.0252053850197	0.0240013417884
HGDP00557	-0.0020629787453	-0.0376744175004	-0.0022782927624	-0.0025440636755	0.0024895583235	0.0148772409104	0.0055161301696	0.0009644682099	0.0238354004598	0.0334109453203
HGDP00569	-0.0030436315501	-0.0370639220413	-0.0021934454597	-0.0031817266461	0.0019799644653	0.0137364161133	0.0100611679966	-0.0001230652924	0.0217287614704	0.0312546509604
HGDP00581	-0.0015781779875	-0.0368494761073	-0.0027937218207	-0.0028060173399	0.0014887388961	0.0148583860076	0.0043354706339	0.0021767438549	0.0327950091948	0.0438261915910
HGDP00594	-0.0027108572315	-0.0367242171639	-0.0013232398972	-0.0031559159118	0.0027579554651	0.0155113648784	0.0071781853067	0.0020113846408	0.0235192556492	0.0305193268789
HGDP00675	-0.0057229432631	-0.0341148296064	-0.0018623367812	-0.0028404153392	0.0063273216418	0.0174461658278	0.0084935119772	-0.0000612751732	0.0267993763757	0.0312674159922
HGDP00687	-0.0052376626347	-0.0346515401178	-0.0022390180174	-0.0032644523137	0.0057551121503	0.0126869421650	0.0069689938969	0.0012657838731	0.0277389314061	0.0319274240515
HGDP00697	-0.0052805544679	-0.0349815303051	-0.0017267748075	-0.0038464649441	0.0075573665448	0.0168416560851	0.0080473697920	0.0010362140942	0.0268498662326	0.0315626859291
HGDP00729	-0.0064070506719	-0.0323491023997	-0.0027000329139	-0.0034876872684	0.0084892832196	0.0162187915926	0.0087148746441	0.0028068966195	0.0249915818224	0.0288554186486
HGDP00741	-0.0068634904723	-0.0319578316648	-0.0019431209305	-0.0038187365277	0.0068584393233	0.0143570919616	0.0053737746014	-0.0011070824106	0.0174641751318	0.0229870217421
HGDP00011	0.0026966436475	-0.0268952790655	0.0004261428501	0.0009583469523	-0.0107005647296	-0.0453778087596	-0.0328689303755	0.0013558102172	0.0133164922872	0.0132299799910
HGDP00035	0.0014731512571	-0.0247068331152	0.0004079315336	0.0028252366127	-0.0093596987336	-0.0481088035466	-0.0364440132497	0.0029038451157	0.0159401861955	0.0176337867365
HGDP00058	0.0032179704785	-0.0247414927702	0.0010207199532	0.0043010627254	-0.0103460313949	-0.0475657143229	-0.0342207295301	-0.0024101965329	0.0085219566272	0.0083497576778
HGDP00082	0.0032794933765	-0.0264192341788	-0.0006149453570	0.0032913443816	-0.0118145606838	-0.0439629632742	-0.0330940491684	0.0006550931882	0.0077862957922	0.0051146684374
