FID   PC0   PC1   PC2   PC3   PC4   PC5   PC6   PC7   PC8   PC9
                           NA06989   -0.3355434876088   -0.3753993500964    0.0601663699152   -0.3977093559818    0.4975168796220    0.2660000386170   -0.1885751659100    0.3153530684632    0.1772172534660    0.3162277660168   
                           NA12399    0.0019610803374   -0.4692361170077   -0.1631023136967    0.0236698342651   -0.2996779546437   -0.4318725030099   -0.2202355014774    0.1952212664849   -0.5382520232360    0.3162277660168   
                           NA18563    0.6654561701419   -0.1092400927164    0.0472975383718   -0.1034533939828   -0.0728082901418   -0.2669689481279   -0.0876226105706    0.0806601541434    0.5844123348914    0.3162277660168   
                           NA18154    0.1899515078733    0.1590189900748    0.3122115679936   -0.0588009184312    0.1393131025985    0.0055468032302    0.7205764953450    0.3210719042303   -0.3097437866100    0.3162277660168   
                           NA17974    0.2626554250777   -0.2282229974577   -0.4200406321466    0.3043712579483    0.3565461953016    0.3045825318219    0.1345531079229   -0.4986144374132   -0.1524263483320    0.3162277660168   
                           NA20909   -0.1730675531953    0.6094114784168   -0.5968241314180    0.0293671865300    0.1222158221835   -0.2060208645559   -0.0815023018970    0.2708706055438    0.0648766716994    0.3162277660168   
                           NA21616    0.0318664453663    0.1839828227843    0.3980318327734    0.6014754175737   -0.0701090555022    0.3360688823570   -0.4192510757961    0.2214906304807   -0.0473887690767    0.3162277660168   
                           NA20808   -0.5460718791806   -0.1418027339893    0.1718259191641    0.3231266802663   -0.0896907042300   -0.3547528359484    0.2984162474995   -0.2856870989281    0.3784165919995    0.3162277660168   
                           NA20508   -0.1016054825596    0.0195439559653   -0.1610498647311   -0.3029574164963   -0.6871377315894    0.5179980795165    0.1306654871594   -0.0780641475885    0.0890300585711    0.3162277660168   
                           NA18508    0.0043977737477    0.3519440440263    0.3514837137743   -0.4190892916914    0.1038317364017   -0.1705811839006   -0.2870246822756   -0.5423019454164   -0.2461419833726    0.3162277660168   
